879555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
880973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,1,1
879555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
880973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,1,1
879715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
881153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,1,1
879715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
881153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,1,1
879715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
881153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,1,1,1
